Article,Journal
10002,Nucl.Phys.
10003,Phys.Rev.
10013,J.Phys.
10016,Nucl.Phys.
10019,Phys.Lett.
10021,Phys.Lett.
10022,Phys.Lett.
10023,JHEP
10025,Phys.Lett.
10027,Phys.Lett.
10028,Phys.Lett.
10030,Phys.Lett.
10034,JHEP
10035,Int.J.Theor.Phys.
10039,Phys.Lett.
10040,JHEP
10045,JHEP
1004,Phys.Rev.
10050,Phys.Lett.
10052,Nucl.Phys.
10055,Class.Quant.Grav.
10056,J.Math.Phys.
10057,Int.J.Theor.Phys.
10058,Nucl.Phys.
10060,JHEP
10064,Phys.Rev.
10065,Phys.Lett.
10068,Phys.Lett.
10069,Phys.Lett.
10076,Phys.Rev.Lett.
10077,JHEP
10079,Eur.Phys.J.
10083,Phys.Rev.
10088,JHEP
10090,JHEP
10091,Nucl.Phys.
10092,Nucl.Phys.
10093,Nucl.Phys.
10095,Phys.Lett.
10096,JHEP
101001,JHEP
101003,Phys.Rev.
101005,Int.J.Mod.Phys.
101007,Nucl.Phys.
101009,Mod.Phys.Lett.
101010,JHEP
101011,Nucl.Phys.
101014,JHEP
101017,JHEP
101019,Phys.Lett.
10101,Phys.Rev.
101023,Fortsch.Phys.
101025,Phys.Rev.
10102,JHEP
101031,Nucl.Phys.
101032,Nucl.Phys.
101034,JHEP
101037,Phys.Lett.
101038,Phys.Rev.
101039,JHEP
10103,Nucl.Phys.
101044,Lett.Math.Phys.
101045,Mod.Phys.Lett.
101046,Theor.Math.Phys.
101047,Phys.Rev.
10104,JHEP
101050,Fortsch.Phys.
101052,Lett.Math.Phys.
101053,Nucl.Phys.
10105,JHEP
101060,Phys.Rev.
101062,Mod.Phys.Lett.
101064,JHEP
101065,Phys.Rev.
101066,Fortsch.Phys.
101067,Prog.Theor.Phys.
101069,JHEP
101071,JHEP
101074,Nucl.Phys.
101077,Phys.Lett.
101078,Phys.Lett.
10107,J.Math.Phys.
101082,Phys.Rev.
101083,Phys.Lett.
101089,Theor.Math.Phys.
101090,Phys.Lett.
101092,J.Phys.
101094,Phys.Lett.
101095,Phys.Rev.
101096,Nucl.Phys.
1010,Phys.Lett.
101100,Mod.Phys.Lett.
101101,Prog.Theor.Phys.
101108,Int.J.Mod.Phys.
101110,Int.J.Mod.Phys.
101112,Phys.Rev.
101114,JHEP
101120,Phys.Rev.
101129,JHEP
10112,Phys.Lett.
101130,Phys.Lett.
101132,Nucl.Phys.
101135,JHEP
101136,JHEP
101139,Int.J.Mod.Phys.
10113,Phys.Lett.
101140,Int.J.Mod.Phys.
101142,Phys.Rev.
101143,JHEP
101147,Nucl.Phys.
101149,Mod.Phys.Lett.
101153,Nucl.Phys.
101155,Phys.Rev.
101156,Annals
101158,Phys.Lett.
101159,JHEP
10115,JHEP
101161,JHEP
101164,JHEP
101167,Int.J.Theor.Phys.
101169,Phys.Rev.
101171,JHEP
101173,Nucl.Phys.
101178,Phys.Lett.
10117,J.Math.Phys.
101180,J.Phys.
101183,Mod.Phys.Lett.
101189,Mod.Phys.Lett.
101190,Nucl.Phys.
101192,Nucl.Phys.
101194,Phys.Rev.
101195,Phys.Rev.
101196,Phys.Rev.
101197,Phys.Rev.
1011,Phys.Lett.
101204,Int.J.Mod.Phys.
101208,JHEP
101209,Nucl.Phys.
101210,Phys.Lett.
101211,Nucl.Phys.
101212,Fortsch.Phys.
101213,JHEP
101216,Mod.Phys.Lett.
101219,Commun.Math.Phys.
10121,Phys.Lett.
101220,Int.J.Mod.Phys.
101222,Phys.Rev.
101224,Theor.Math.Phys.
101225,Phys.Lett.
101226,Int.J.Mod.Phys.
101228,Phys.Rev.
101229,Class.Quant.Grav.
10122,JHEP
101231,Nucl.Phys.
101232,JHEP
101233,JHEP
101234,Nucl.Phys.
101235,JHEP
101236,Phys.Rev.
10125,Phys.Lett.
10126,Class.Quant.Grav.
10130,Phys.Lett.
10133,Phys.Rev.
10136,J.Phys.
10137,Nucl.Phys.
10138,Int.J.Mod.Phys.
1013,Phys.Lett.
10152,J.Math.Phys.
10154,JHEP
10159,Phys.Rev.
